ID,日期,主播,GMV金额,退款金额,走水金额,当日销售金额,消耗金额,投流金额,平台扣点金额,利润金额,毛利率%,创建时间
183,2025-11-26,Sai,7101,169,0,6932,1670.22,253.29,1178.44,3830.05,55.25,2025-11-27 02:15:14
182,2025-11-26,Nice,1666.96,0,0,1666.96,301.38,98.85,283.38,983.35,58.99,2025-11-27 02:13:26
175,2025-11-25,Sai,14736.14,0,0,14736.14,4840.84,242.79,2505.14,7147.37,48.5,2025-11-26 19:44:04
173,2025-11-25,Nice,3421,219,0,3202,598.4,103.64,544.34,1955.62,61.07,2025-11-26 17:13:55
172,2025-11-24,Sai,11246.36,0,0,11246.36,1603.83,253.84,1911.88,7476.81,66.48,2025-11-25 20:00:07
171,2025-11-24,Lin,437,0,0,437,71.34,241.88,74.29,49.49,11.32,2025-11-25 19:43:38
169,2025-11-22,Nice,2725.51,295.27,0,2430.24,530.02,114.74,413.14,1372.34,56.46,2025-11-23 03:02:19
168,2025-11-22,Sai,6309,0,179,6488,698.78,111.65,1072.53,4605.04,70.97,2025-11-23 01:36:36
166,2025-11-21,Sai,5207,0,1026.67,6233.67,566.52,282.97,885.19,4498.99,72.17,2025-11-22 03:07:45
165,2025-11-21,Nice,394.42,0,0,394.42,28.46,149.8,67.05,149.11,37.8,2025-11-22 02:25:53
163,2025-11-20,Sai,2806,0,0,2806,553.53,0,477.02,1775.45,63.27,2025-11-21 03:44:47
162,2025-11-20,Nice,176.89,0,0,176.89,58.78,0,30.07,88.04,49.77,2025-11-21 02:17:47
160,2025-11-19,Sai,813,0,299.45,1112.45,443.9,0,138.21,530.34,47.67,2025-11-20 02:06:03
159,2025-11-19,Lin,243.4,0,0,243.4,21.6,0,41.37,180.43,74.12,2025-11-20 02:05:13
157,2025-11-18,Sai,973,0,299,1272,103.38,121.55,165.41,881.66,69.31,2025-11-19 02:14:17
154,2025-11-17,Sai,566,0,0,566,72.12,0,96.22,397.66,70.25,2025-11-18 01:31:53
153,2025-11-17,Nice,1260,0,0,1260,269.94,0,214.2,775.86,61.57,2025-11-18 01:28:08
152,2025-11-17,Jack,288,0,0,288,31.66,0,48.96,207.38,72,2025-11-18 01:23:55
151,2025-11-15,Sai,2429,0,1455,3884,169.86,0,412.93,3301.21,84.99,2025-11-16 01:57:45
150,2025-11-15,Nice,1554.32,0,0,1554.32,315.61,0,264.23,974.48,62.69,2025-11-16 01:16:19
148,2025-11-14,Sai,1068,0,0,1068,253.88,0,181.56,632.56,59.22,2025-11-15 01:25:46
147,2025-11-14,Nice,2448.44,0,267,2715.44,596.89,0,416.23,1702.32,62.69,2025-11-15 01:23:20
145,2025-11-13,Sai,2829,0,0,2829,310.4,0,480.93,2037.67,72.02,2025-11-14 02:15:04
144,2025-11-13,Nice,306,0,292.32,598.32,52.2,0,52.02,494.1,82.58,2025-11-14 02:14:16
143,2025-11-13,Jack,89,0,0,89,27.12,0,15.13,46.75,52.52,2025-11-14 02:07:16
141,2025-11-12,Sai,4098,0,0,4098,336.32,0,696.66,3065.02,74.79,2025-11-13 01:22:16
140,2025-11-12,Nice,803,0,0,803,144.43,0,136.51,522.06,65.01,2025-11-13 01:20:59
139,2025-11-11,Nice,1664.65,0,0,1664.65,215.7,139.71,282.99,1026.25,61.64,2025-11-12 19:31:32
138,2025-11-11,Sai,1158.29,0,0,1158.29,212.16,276.15,196.9,473.08,40.84,2025-11-12 19:29:43
135,2025-11-10,Nice,2172.32,0,0,2172.32,245.01,0,369.29,1558.02,71.72,2025-11-11 01:22:32
134,2025-11-10,Sai,741,0,0,741,190.6,0,125.97,424.43,57.27,2025-11-11 01:19:10
131,2025-11-07,Sai,1634.58,0,0,1634.58,297.78,277.68,277.87,781.25,47.79,2025-11-08 02:23:35
130,2025-11-07,Lin,3894.76,0,0,3894.76,822.98,242.57,662.1,2167.11,55.64,2025-11-08 02:22:26
128,2025-11-06,Sai,1710.08,0,0,1710.08,280.21,266.35,290.71,872.81,51.03,2025-11-07 01:54:11
127,2025-11-06,Nice,920,0,693,1613,301.56,291.66,156.4,863.38,53.52,2025-11-07 01:49:12
125,2025-11-05,Sai,5347.2,0,0,5347.2,1031.62,267.99,909.02,3138.57,58.69,2025-11-06 02:04:58
124,2025-11-05,Nice,2919,0,0,2919,479.35,142,496.23,1801.42,61.71,2025-11-06 01:59:24
122,2025-11-04,Sai,1549.02,0,0,1549.02,30.8,274,263.33,980.89,63.32,2025-11-05 18:33:57
121,2025-11-03,Sai,316.41,0,0,316.41,130.62,0,53.78,132.01,41.72,2025-11-05 18:33:04
120,2025-11-04,Nice,5012.16,0,0,5012.16,1181.52,280.67,852.06,2697.91,53.82,2025-11-05 17:53:12
119,2025-11-03,Nice,4460,0,0,4460,463.57,140.31,758.2,3097.92,69.46,2025-11-05 17:41:37
115,2025-11-02,Nice,2778.73,0,0,2778.73,680.5,0,472.38,1625.85,58.51,2025-11-03 20:58:23
113,2025-11-02,Sai,1311.3,0,0,1311.3,301.08,139.86,222.92,647.44,49.37,2025-11-03 01:46:37
112,2025-11-01,Nice,4452.8,0,0,4452.8,1033.16,0,756.97,2662.67,59.79,2025-11-02 01:27:03
111,2025-10-30,Nice,4234.71,0,0,4234.71,1471.19,0,719.9,2043.62,48.25,2025-11-02 00:56:21
110,2025-10-29,Lin,2679.95,432.45,0,2247.5,548.3,277.1,382.07,1040.03,46.27,2025-11-02 00:55:38
109,2025-10-28,Nice,1160.1,0,0,1160.1,275.32,156.6,197.21,530.97,45.76,2025-11-02 00:51:55
108,2025-10-26,Nice,201.5,0,0,201.5,39.84,247,34.25,-119.59,-59.34,2025-11-02 00:51:05
98,2025-10-31,Nice,5586.8,218,0,5368.8,778.08,0,912.69,3678.03,68.5,2025-11-01 21:40:00
89,2025-10-25,Nice,608.5,0,0,608.5,212.6,122.91,103.44,169.55,27.86,2025-10-28 20:09:52
88,2025-10-24,Nice,1571,0,0,1571,1515.08,398.02,267.07,-609.17,-38.77,2025-10-28 19:36:02
87,2025-10-24,Zhou,646,0,0,646,0,0,109.82,536.18,83,2025-10-28 19:18:19
86,2025-10-24,Lin,97.6,97.6,0,0,0,0,0,0,0,2025-10-28 19:16:12
