ID,商品编号,商品名称,商品别名,厂家名称,零售价(一箱),箱数量,多少盒1箱,多少包1盒,创建时间
1457,GOODS-4P48FD4UB62,琦趣创想航海王 和之国篇,,琦趣创想,22356,1,36,10,2025-11-24 10:35:17
1456,GOODS-482HCCD8G14,名侦探柯南挂件-星绽版-第1弹,,卡游,19440,1,36,12,2025-11-24 10:34:09
1455,GOODS-J3N69Z69BN1,灵魂重生收藏卡,,万画云游,24300,1,24,15,2025-11-24 10:33:19
1432,GOODS-Q6JBDL41998,卡游柯南揭秘包1元包,,卡游,8208,1,48,36,2025-11-18 15:44:33
1431,GOODS-1LBC23ZE336,有念头-胶片色纸 恋与深空胶片,,有念头,10716,1,20,6,2025-11-18 15:44:09
1430,GOODS-E3T4336Y2LM,星栖文创X恋与深空答案之旅镭射票 第一弹,,星栖文创,10445.25,1,200,1,2025-11-18 15:43:44
1419,GOODS-59G57U76REM,辰星文创名侦探柯南典藏色纸三弹,,辰星文创,8507.25,1,18,5,2025-11-10 17:41:18
1418,GOODS-J3B653B2GQ4,???????? 幻境文创 × 恋与深空撕撕乐,,幻境文创,14912.63,1,100,3,2025-11-10 17:40:26
1417,GOODS-Y44ZQB77O96,?????? ??? 漫卡王x海贼王典藏臻品包第一弹,,漫卡王,24795,1,36,13,2025-11-10 17:37:59
1416,GOODS-J4Q7G9R61D8,?????? ??? 小酷文创第二弹《航海王·探索神秘岛》,,小酷文创,23598,1,36,12,2025-11-10 17:37:32
1415,GOODS-25QC4FP2U71,?????????? ???????????? totem潮玩恋与深空,,totem潮玩,11072.5,1,90,1,2025-11-10 17:37:07
1414,GOODS-QF731V1F44L,欧恋文创 恋与深空色纸,,欧恋文创,11343,1,24,5,2025-11-10 17:36:37
1413,GOODS-2FJ874KL45O,???? love  咕咕谷恋与深空吧唧,,咕咕谷,8464.5,1,30,6,2025-11-10 17:35:05
1354,GOODS-7AY352C8NC6,???????????? ??????????? 春风文创鬼灭吧唧第5弹,,春风文创,13680,1,180,1,2025-10-16 18:27:18
1353,GOODS-BU97G914PC2,???????????????? 光谷文创鬼灭吧唧,,光谷文创,12960,1,30,6,2025-10-16 18:26:14
1352,GOODS-A664O7E74VT,迪士尼欢乐盛典系列收藏卡,,集卡社,22686,1,24,10,2025-10-16 18:23:43
1351,GOODS-5WHT949E8U8,迪士尼群星运动会系列收藏卡,,集卡社,9120,1,48,20,2025-10-16 18:23:21
1350,GOODS-7X321Y44HPW,迪士尼公主魔法童话系列收藏卡,,集卡社,22800,1,24,10,2025-10-16 18:22:52
1349,GOODS-EBK82L4F941,冰雪奇缘四季流光收藏卡,,集卡社,22800,1,24,10,2025-10-16 18:22:10
1348,GOODS-UO9B46X753M,米奇纪念版收藏卡奇遇记,,集卡社,22800,1,24,10,2025-10-16 18:19:00
1347,GOODS-9E86SWAE537,星际宝贝趣玩版收藏卡,,集卡社,11400,1,48,5,2025-10-16 18:18:40
1346,GOODS-293F9GH7XB6,小黄人系列奇趣收藏卡第一弹,,集卡社,23598,1,36,10,2025-10-16 18:18:16
1345,GOODS-A7KKYL81549,皮克斯37周年奥斯卡荣誉收藏卡,,集卡社,44460,1,18,10,2025-10-16 18:17:46
1344,GOODS-151GSRQ659L,迪士尼100周年欢乐收藏卡,,集卡社,22686,1,36,10,2025-10-16 18:17:07
1343,GOODS-798YYDEF993,三丽鸥票根珍藏卡,,卡宝文创,30780,1,36,20,2025-10-16 18:16:37
1323,GOODS-S2F3Q681JG8,Hellocard美少女战士月之绮梦舞会,Sailor Moon,HelloCard,20736,1,36,13,2025-10-02 22:07:12
1322,GOODS-348B4H7EOH1,?????? 羽溯文创魔卡少女樱--时光印记,Cardcaptor Sakura,羽溯文创,16038,1,36,13,2025-10-02 22:05:20
1321,GOODS-F14B6O53W6E,鬼灭之刃,???????????? ???????,欧梦文创,52974,1,36,13,2025-10-02 22:00:35
1320,GOODS-U6W62Y4E35T,???? 御卡族鬼灭之刃,???????????? ????????,御卡族,12960,1,36,13,2025-10-02 21:56:31
1319,GOODS-W89UV6291EX,欧漫文创柯南撕撕乐第1弹,Detective Conan,欧漫,6727.5,1,50,3,2025-10-02 21:54:22
1318,GOODS-Q311D628LYU,Bling文创恋与深空,Love ??? Deepspace,?Bling文化,21890,1,22,5,2025-10-02 21:46:19
