ID,日期,商品,直播间,主播,期初箱,期初盒,期初包,到货箱,到货盒,到货包,调入箱,调入盒,调入包,调出箱,调出盒,调出包,期末箱,期末盒,期末包,箱平均单价,盒平均单价,包平均单价,消耗箱,消耗盒,消耗包,消耗金额,库存货值,库存平拆总值,创建时间
6885,2025-11-24,???? love  咕咕谷恋与深空吧唧,Live Room 2,Sai,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4270.5,142.35,23.72,0,0,2,47.44,0,0,2025-11-25 19:58:28
6884,2025-11-24,?????????? ???????????? totem潮玩恋与深空,Live Room 2,Sai,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2605.5,28.95,14.47,0,3,0,86.85,0,0,2025-11-25 19:58:28
6883,2025-11-24,Bling文创恋与深空,Live Room 2,Sai,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2395.06,108.86,21.76,0,3,1,348.34,0,0,2025-11-25 19:58:28
6882,2025-11-24,迪士尼群星运动会系列收藏卡,Live Room 2,Sai,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3078,64.12,3.2,0,1,0,64.12,0,0,2025-11-25 19:58:28
6881,2025-11-24,???????? 幻境文创 × 恋与深空撕撕乐,Live Room 2,Sai,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2785.5,26.52,8.84,0,14,0,371.28,0,0,2025-11-25 19:58:28
6880,2025-11-24,欧恋文创 恋与深空色纸,Live Room 2,Sai,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2286,95.25,19.05,0,7,1,685.8,0,0,2025-11-25 19:58:28
6879,2025-11-24,???? 御卡族鬼灭之刃,Live Room 1,Lin,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4232.7,117.57,9.04,0,0,4,36.16,0,0,2025-11-25 02:43:07
6878,2025-11-24,???????????????? 光谷文创鬼灭吧唧,Live Room 1,Lin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2445.75,81.52,13.58,0,0,1,13.58,0,0,2025-11-25 02:43:07
6877,2025-11-24,?????? ??? 漫卡王x海贼王典藏臻品包第一弹,Live Room 1,Lin,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3370.5,93.62,7.2,0,0,3,21.6,0,0,2025-11-25 02:43:07
6778,2025-11-22,迪士尼群星运动会系列收藏卡,Live Room 1,Nice,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3078,64.12,3.2,0,6,0,384.72,0,0,2025-11-23 03:00:19
6777,2025-11-22,迪士尼100周年欢乐收藏卡,Live Room 1,Nice,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4995,138.75,13.87,0,0,2,27.74,0,0,2025-11-23 03:00:19
6776,2025-11-22,Bling文创恋与深空,Live Room 2,Sai,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2395.06,108.86,21.76,0,2,0,217.72,0,0,2025-11-23 01:17:57
6775,2025-11-22,?????? 羽溯文创魔卡少女樱--时光印记,Live Room 2,Sai,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2606.4,72.4,5.56,0,0,4,22.24,0,0,2025-11-23 01:17:57
6774,2025-11-22,欧恋文创 恋与深空色纸,Live Room 2,Sai,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2286,95.25,19.05,0,3,4,361.95,0,0,2025-11-23 01:17:57
6773,2025-11-22,???? love  咕咕谷恋与深空吧唧,Live Room 2,Sai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4270.5,142.35,23.72,0,0,1,23.72,0,0,2025-11-23 01:17:57
6772,2025-11-22,?????????? ???????????? totem潮玩恋与深空,Live Room 2,Sai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2605.5,28.95,14.47,0,1,0,28.95,0,0,2025-11-23 01:17:57
6771,2025-11-22,???????? 幻境文创 × 恋与深空撕撕乐,Live Room 2,Sai,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2785.5,26.52,8.84,0,1,2,44.2,0,0,2025-11-23 01:17:57
6770,2025-11-22,???????????????? 光谷文创鬼灭吧唧,Live Room 1,Nice,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2445.75,81.52,13.58,0,0,2,27.16,0,0,2025-11-23 01:02:06
6769,2025-11-22,???? 御卡族鬼灭之刃,Live Room 1,Nice,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4232.7,117.57,9.04,0,0,10,90.4,0,0,2025-11-23 01:02:06
6670,2025-11-21,?????? 羽溯文创魔卡少女樱--时光印记,Live Room 2,Sai,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,2606.4,72.4,5.56,0,4,5,317.4,0,0,2025-11-22 03:04:56
6669,2025-11-21,Bling文创恋与深空,Live Room 2,Sai,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2395.06,108.86,21.76,0,0,2,43.52,0,0,2025-11-22 03:04:56
6668,2025-11-21,???? love  咕咕谷恋与深空吧唧,Live Room 2,Sai,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4270.5,142.35,23.72,0,1,0,142.35,0,0,2025-11-22 03:04:56
6667,2025-11-21,欧恋文创 恋与深空色纸,Live Room 2,Sai,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2286,95.25,19.05,0,0,1,19.05,0,0,2025-11-22 03:04:56
6666,2025-11-21,???????? 幻境文创 × 恋与深空撕撕乐,Live Room 2,Sai,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2785.5,26.52,8.84,0,1,2,44.2,0,0,2025-11-22 03:04:56
6665,2025-11-21,?????? ??? 小酷文创第二弹《航海王·探索神秘岛》,Live Room 1,Nice,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2245.5,62.37,5.19,0,0,2,10.38,0,0,2025-11-22 02:09:35
6664,2025-11-21,???? 御卡族鬼灭之刃,Live Room 1,Nice,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4232.7,117.57,9.04,0,0,2,18.08,0,0,2025-11-22 02:09:35
6566,2025-11-20,???? 御卡族鬼灭之刃,Live Room 2,Sai,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4232.7,117.57,9.04,0,0,12,108.48,0,0,2025-11-21 02:33:28
