ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
1345,251017采购卡游哈利波特永恒版3弹 10盒,咸鱼,卡游哈利波特永恒版第3弹,5495940,5495940,0,2025-10-17
1343,251017采购《鬼灭之刃》Q萌毛绒不织布玩偶系列 2箱,杭州奥斯卡,《鬼灭之刃》Q萌毛绒不织布玩偶系列,6175570,6175570,0,2025-10-17
1342,251017采购织梦社三丽鸥收藏卡砖 1箱,杭州奥斯卡,织梦社三丽鸥收藏卡砖,8345940,8345940,0,2025-10-17
1341,251017采购菠萝文创×魔卡少女樱 樱花之旅 钞票  2箱,杭州奥斯卡,菠萝文创×魔卡少女樱 樱花之旅钞票,2652970,2652970,0,2025-10-17
1340,251017采购 恋与深空《一卷方知是情长》2箱,咸鱼,恋与深空《一卷方知是情长》,3146970,3146970,0,2025-10-17
1337,251017采购哪吒灵焰包3弹 5箱,江西小精灵,卡游哪吒灵焰包3弹,5975044,5975044,0,2025-10-17
1336,251017采购【原漫社】《魔卡少女樱》·永恒契约典藏色纸 2箱,杭州奥斯卡,【原漫社】《魔卡少女樱》·永恒契约典藏色纸,2918970,2918970,0,2025-10-17
1335,251014迪卡DK柯南南瓜party 8箱,咸鱼,迪卡DK柯南南瓜party,2325742.5,2325742.5,0,2025-10-14
1334,251013采购《拾光文创》原神A6全亚克力色纸 2箱,咸鱼,《拾光文创》原神A6全亚克力色纸,2614970,2614970,0,2025-10-13
1333,251013采购集夜文创-恋与深空《星蝶恋语》系列大方吧唧 2箱,杭州奥斯卡,集夜文创-恋与深空《星蝶恋语》系列大方吧唧,2234970,2234970,0,2025-10-13
1332,251013采购泡泡棠 x艺术绘画水晶砖 2箱,杭州奥斯卡,泡泡棠 x艺术绘画水晶砖,4362970,4362970,0,2025-10-13
1331,251013采购盗墓笔记四季同书 1箱,杭州奥斯卡,盗墓笔记四季同书,5989940,5989940,0,2025-10-13
1330,251013采购charm card梦工厂《宫崎骏与你同行》卡牌 2箱,咸鱼,charm card梦工厂《宫崎骏与你同行》卡牌,3478646.66,3478646.67,0,2025-10-13
1329,绘卷文创 梦境入画小樱系列收藏卡砖,咸鱼,绘卷文创 梦境入画小樱系列收藏卡砖,6642970,6642970,0,2025-10-12
1328,251011采购麦好文创鬼灭2弹 2箱,杭州奥斯卡,麦好文创X鬼灭之刃《心灯永续》第二弹,4438970,4438970,0,2025-10-11
1327,251011采购2箱光卡文创鬼灭烫金线稿亚克力2箱,杭州奥斯卡,《鬼灭之刃》绝无仅有烫会线稿亚克力,4438970,4438970,0,2025-10-11
1326,251010采购小酷文创海贼 10箱,杭州奥斯卡,小酷文创第二弹《航海王·探索神秘岛》,1518594,1518594,0,2025-10-10
1292,250916采购徕卡兄弟鬼灭20箱,咸鱼,Di?t Qu? - Tuy?t ??i C?c Ph?m徕卡兄弟鬼灭,133106400,133106400,0,2025-09-16
