ID,调货日期,商品编号,商品,调出直播间,调出主播,调入直播间,调入主播,调货箱,调货盒,调货包,备注,创建时间
603,2025-11-24,GOODS-5WHT949E8U8,迪士尼群星运动会系列收藏卡,泰国仓库 1,Lin,Live Room 2,Sai,0,1,0,,2025-11-25 19:56:43
602,2025-11-24,GOODS-QF731V1F44L,欧恋文创 恋与深空色纸,泰国仓库 1,Lin,Live Room 2,Sai,0,7,1,,2025-11-25 19:56:15
601,2025-11-24,GOODS-Q311D628LYU,Bling文创恋与深空,泰国仓库 1,Lin,Live Room 2,Sai,0,2,6,,2025-11-25 19:55:12
600,2025-11-24,GOODS-25QC4FP2U71,?????????? ???????????? totem潮玩恋与深空,泰国仓库 1,Lin,Live Room 2,Sai,0,3,0,,2025-11-25 19:47:58
599,2025-11-24,GOODS-J3B653B2GQ4,???????? 幻境文创 × 恋与深空撕撕乐,泰国仓库 1,Lin,Live Room 2,Sai,0,14,0,叠叠4+5=9,2025-11-25 19:46:58
598,2025-11-24,GOODS-2FJ874KL45O,???? love  咕咕谷恋与深空吧唧,泰国仓库 1,Lin,Live Room 2,Sai,0,0,2,,2025-11-25 19:45:35
597,2025-11-24,GOODS-BU97G914PC2,???????????????? 光谷文创鬼灭吧唧,泰国仓库 1,Lin,Live Room 1,Lin,0,0,1,免费送,2025-11-25 02:42:34
596,2025-11-24,GOODS-Y44ZQB77O96,?????? ??? 漫卡王x海贼王典藏臻品包第一弹,泰国仓库 1,Lin,Live Room 1,Lin,0,0,3,,2025-11-25 02:42:07
595,2025-11-24,GOODS-U6W62Y4E35T,???? 御卡族鬼灭之刃,泰国仓库 1,Lin,Live Room 1,Lin,0,0,4,,2025-11-25 02:41:32
594,2025-11-22,GOODS-151GSRQ659L,迪士尼100周年欢乐收藏卡,泰国仓库 1,Lin,Live Room 1,Nice,0,0,2,,2025-11-23 02:59:10
593,2025-11-22,GOODS-5WHT949E8U8,迪士尼群星运动会系列收藏卡,泰国仓库 1,Lin,Live Room 1,Nice,0,6,0,叠叠1,2025-11-23 02:58:34
592,2025-11-22,GOODS-348B4H7EOH1,?????? 羽溯文创魔卡少女樱--时光印记,泰国仓库 1,Lin,Live Room 2,Sai,0,0,4,出一张PR,2025-11-23 01:14:09
591,2025-11-22,GOODS-J3B653B2GQ4,???????? 幻境文创 × 恋与深空撕撕乐,泰国仓库 1,Lin,Live Room 2,Sai,0,0,5,叠叠,2025-11-23 01:13:19
589,2025-11-22,GOODS-25QC4FP2U71,?????????? ???????????? totem潮玩恋与深空,泰国仓库 1,Lin,Live Room 2,Sai,0,0,1,,2025-11-23 01:07:57
588,2025-11-22,GOODS-Q311D628LYU,Bling文创恋与深空,泰国仓库 1,Lin,Live Room 2,Sai,0,2,0,,2025-11-23 01:07:19
587,2025-11-22,GOODS-2FJ874KL45O,???? love  咕咕谷恋与深空吧唧,泰国仓库 1,Lin,Live Room 2,Sai,0,0,1,送一个,2025-11-23 01:05:58
586,2025-11-22,GOODS-QF731V1F44L,欧恋文创 恋与深空色纸,泰国仓库 1,Lin,Live Room 2,Sai,0,3,4,,2025-11-23 01:04:58
585,2025-11-22,GOODS-BU97G914PC2,???????????????? 光谷文创鬼灭吧唧,泰国仓库 1,Lin,Live Room 1,Nice,0,0,2,送2包,2025-11-23 01:01:32
584,2025-11-22,GOODS-U6W62Y4E35T,???? 御卡族鬼灭之刃,泰国仓库 1,Lin,Live Room 1,Nice,0,0,10,,2025-11-23 01:01:02
583,2025-11-21,GOODS-348B4H7EOH1,?????? 羽溯文创魔卡少女樱--时光印记,泰国仓库 1,Lin,Live Room 2,Sai,0,2,31,,2025-11-22 03:03:31
582,2025-11-21,GOODS-Q311D628LYU,Bling文创恋与深空,泰国仓库 1,Lin,Live Room 2,Sai,0,0,2,,2025-11-22 02:52:09
581,2025-11-21,GOODS-QF731V1F44L,欧恋文创 恋与深空色纸,泰国仓库 1,Lin,Live Room 2,Sai,0,0,1,,2025-11-22 02:51:05
