英文/越文名/Tên SP,中文名/Tên Tiếng Trung,sku序列/Code SKU,品类/Loại sp,厂商/NXB,盒/箱 Hộp/Thùng,包/盒 Pack/Hộp,图片 Ảnh,预售时间
Pokemon,《东株社》宝可梦水晶砖,10001,Thẻ hộp/卡砖,东株社,50,1,,
Moon Card Sailor Moon,MoonCard月卡《美少女战士》第三弹,10002,Card/卡牌,MoonCard月卡,36,13,,
DUO Kyn,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,10003,Card/卡牌,DUO米,36,13,,
Jujutsu vol 1,初见花海咒术回战第一弹,10004,Card/卡牌,贝贝文创,180,1,,
Gibli Wind,椿柚文创宫崎骏 被风吹散的秘密邮票第一弹,10005,Card/邮票,椿柚文创,100,1,,
Mây và Hạ,云映文化「云之境の夏」第二弹·宫崎骏珍藏卡牌,10006,Card/卡牌,云映文化,36,13,,
Kawaii Gibli,kawaii宫崎骏梦幻之国,10007,Card/卡牌,kawaii,36,13,,
X work Sailor Moon,XWork美少女战士-璀璨之梦,10008,Card/卡牌,XWork,36,10,,
Vancard Sanrio,万画云游三丽鸥家族百变cos收藏卡,10009,Card/卡牌,万画云游,24,10,,
Wamder Roaming Sakura,玩的入迷-魔卡少女樱第一弹—樱之绮遇,10010,Card/卡牌,玩的入迷,36,13,,
Gibli Hoa,灿卡文创宫崎骏第二弹《花涧物语》,10011,Card/卡牌,灿卡文创,36,13,,
Attack on Titan,卡文化进击的巨人,10012,Card/卡牌,卡文化,48,30,,
Kny Hoàng Card,皇卡 × 鬼灭《血月之契》篇决战无限城收藏卡,10013,Card/卡牌,皇卡,36,12,,
Tinh Mộng Gibli thẻ xé,星梦文创-Studio Ghibli宫崎骏撕撕乐系列 ,10014,Thẻ xé/撕撕乐,星梦文创,100,3,,
MH Gibli,梦绘文创-宫崎骏第二弹,10015,Card/卡牌,梦绘文创,36,12,,
Quàng Thượng,思梨普文创《hey!国王陛下》集换式艺术家典藏卡,10016,Card/卡牌,思梨普文创,36,10,,
Mộng cảnh Sailor Moon,梦境-美少女战士第一弹,10017,Card/卡牌,梦境,36,13,,
Sacred Sailor Moon,圣月美少女战士星尘协奏曲长卡,10018,Card/卡牌,聖月,36,13,,
Goods Power TQTP,谷子力量 x 竹烟波月亚克力透卡,10019,Thẻ bự/色纸,谷子力量,150,1,,
Sakura Card Fun,集卡社小樱,10020,Card/卡牌,集卡社,36,16,,
Shingu Conan phiếu tem,新谷动漫名侦探柯南·仲夏夜之恋邮票集,10021,Phiếu tem/邮票,新谷动漫,25,5,,
Sailor Shining,【耀光·美少女战士】长卡卡砖,10022,Thẻ hộp/卡砖,耀光,8,24,,
Tinh quang Genshin,风信文创尘世相逢之约星光来信原神邮票第一弹,10023,Phiếu tem/邮票,风信文创,100,1,,
Conan đám cưới A5 vol 1,漫影工作室-柯南-A5 大卡第一弹,10024,Thẻ bự/色纸,漫影工作室,50,1,,
Quân sơn TQTP,君屹文化耽美古风收藏新纪元《言辞忆梦》撕撕乐,10025,Thẻ xé/撕撕乐,君屹文化,300,1,,
Hải Minh LnD,星恋文创·恋与深空《晦明交错之间》亚克力相框卡,10026,Thẻ bự/色纸,星恋文创,100,1,,
LnD phiếu tem,深空绘约文创我不爱世界只爱你邮票撕拉卡,10027,Phiếu tem/邮票,深空绘约文创,30,6,,
Trendy Toyka Genshin,潮玩咔原神 尘世收藏卡,10028,Card/卡牌,潮玩咔,36,13,,
Sakura House,樱花屋魔卡少女樱,10029,Card/卡牌,樱花屋,49,12,,
Mộng ảnh Hắc Quản Gia,梦影动漫黑执事-典藏版收藏卡牌,10030,Card/卡牌,梦影动漫,36,12,,
SK MĐTS phiếu tem,胜卡文创x魔道祖师云深不忘邮票评级卡砖,10031,Phiếu tem/邮票,胜卡文创,12,10,,
Huixin MĐTS,绘心阁《魔道祖师—殊途同归》色纸卡牌,10032,Thẻ bự/色纸,绘心阁,180,1,,
LnD thẻ xé Ngàn lần động tâm,慕光文创「一千次心动」系列撕撕乐,10033,Thẻ xé/撕撕乐,慕光文创,150,1,,
Lan Đình A6 tổng hợp,兰亭文创x墨家三宝典藏色纸砚池春深系列,10034,Thẻ bự/色纸,兰亭文创,120,1,,
KK card Shinkai Makoto vol 1,KK CARD × 新海诚系列第一弹,10035,Card/卡牌,KK CARD,36,14,,
Yanka LnD,《研卡文创》第三弹收藏色纸,10036,Thẻ bự/色纸,研卡文创,20,6,,
Madhouse Sakura phiếu tem,磁吸邮票《咪咕咪咕&魔卡少女樱》,10037,Phiếu tem/邮票,咪咕咪咕,100,1,,
LnD Gió hạ từng hôn mi em,浮光工作室❤第三弹【夏风吻过你的睫毛】,10038,Card/卡牌,浮光工作室,80,1,,
OP Phi Phàm,非凡航海王第五弹,10039,Card/卡牌,非凡,48,20,,
Kuka Maltese,酷卡文化-线条小狗3弹,10040,Card/卡牌,酷卡文化,36,11,,
Bearie Genshin Impact,小熊工坊「原神」A6色纸,10041,Thẻ bự/色纸,小熊工坊,100,1,,
Butterbear vol 2,黄油小熊系列收藏卡第二弹 小熊的观察日记,10042,Card/卡牌,玖人文化,24,16,,
XR Sailor Moon,光恋XR-披荆斩棘-美少女战士,10043,Card/卡牌,光恋XR,36,13,,
Source University Genshin thẻ CD,源宇宙原神.空月の歌·周边CD票根邮票组合套装,10044,Card/卡牌,源宇宙原神,100,1,,
Conan lập thể,名侦探柯南谜层交错,10045,Lập thể/立体水晶,,50,1,,
Đèn Gibli DIY,夜灯,10046,Đồ chơi/玩具,夜灯,48,1,,
Xưởng Teyvat Genshin Impact A6,提瓦特工坊·原神水晶色纸,10047,Thẻ bự/色纸,提瓦特工坊,90,1,,
Narasha Sailor Moon thẻ xé,奈良社《极昼漫游》美少女战士撕撕乐+异形小卡,10048,Thẻ xé/撕撕乐,奈良社,100,1,,
Melting point,野火文创《月下悸动》 韩漫耽美撕撕乐,10049,Thẻ xé/撕撕乐,野火文创,52,3,,
Hoàng tử bé và Alice,小王子与爱丽丝,10050,Card/卡牌,卡盟文创,24,12,,
Nanka Sakura,南卡《魔卡少女樱》,10051,Card/卡牌,南卡,36,12,,
Kayou Conan Vol 5,柯南洞悉包第五弹,10052,Card/卡牌,卡游,36,18,,
Hoa rơi chỉ vì quân,悦灵文创 《落花只为君》第三弹,10053,Card/卡牌,悦灵文创,36,12,,
Mèo chiêu tài,太阳能招财猫,10054,Đồ chơi/玩具,招财猫,240,1,,
Scroll Painting Thanh gươm diệt quỷ ,绘卷文创 - 梦境入画【鬼灭之刃系列收藏卡砖】,10055,Thẻ hộp/卡砖,绘卷文创,36,5,,
 Card Fun Thiên quan tứ phúc bản hoạt hình,集卡社天官赐福动画周年纪念版,10056,Card/卡牌,集卡社,48,10,,
Kabao Sanrio Gia tộc mùa đông ấm áp,三丽鸥家族暖冬,10057,Card/卡牌,卡宝,20,10,,
Kabao Sanrio Hello Kitty Mộng cảnh tuần lễ,三丽鸥家族hello kitty梦境巡礼,10058,Card/卡牌,卡宝,36,15,,
Thanh gươm Vị Miên chi Dạ,鬼灭之刃·炽阳文创《未眠之夜 》限定双闪色纸,10059,Thẻ bự/色纸,炽阳文创,90,1,,
 Manga Forest Ghibli vol 3,漫の森《宫崎骏第三弹·奇幻之旅》,10060,Card/卡牌,漫の森,36,13,,
Bản tổng hợp cổ phong Đam ư mỹ sắc vol 3,灵漫社《耽于美涩》古风系列收藏卡牌第三弹,10061,Card/卡牌,灵漫社,36,11,,
Kayou Mobile Legend,Mobile Legends: Bang Bang-Collectible Cards-Hand of Destiny-001A-SEA,10062,Card/卡牌,卡游,48,20,,
Floating Dream Đồng cảnh kỳ mộng,浮梦集 「童境绮梦」艺术家联名收藏卡牌,10063,Card/卡牌,浮梦集,36,13,,
  Source Universe Honkai Star Rail A6,源宇宙崩铁色纸,10064,Thẻ bự/色纸,源宇宙,30,6,,
Genshin Impact ver Đáp án của vận mệnh,【行星文创·上上签·命运答案】X全新原神系列上上签,10065,Card/卡牌,行星文创,10,12,,
Kayou Conan vol 2 (bánh quy),卡游柯南揭秘包第2弹,10066,Card/卡牌,卡游,48,36,,
Honkai Star Rail A6 Tinh Trình Khởi Động,拓宇文创—崩铁·启航星程 A6 亚克力色纸,10067,Thẻ bự/色纸,拓宇文创,90,1,,
Trúc Ảnh Dao Tiên thẻ xé đam mỹ,《竹影摇笺》耽美撕撕乐系列,10068,Thẻ xé/撕撕乐,漫の森,300,1,cần đếm lại,
YiHua Wuthering Waves thẻ xé,【艺画文创】鸣潮撕撕乐,10069,Thẻ xé/撕撕乐,艺画文创,300,1,,
Nhất Nặc Chung Sinh Tổng hợp 3 bộ của Mặc Hương,【喵谷】&【一诺终生】墨香三部曲系列色纸【魔道】【天官】【渣反】第二弹,10070,Thẻ bự/色纸,喵谷,90,1,,
Kayou Jujutsu Kaisen,咒术回战-术士收藏卡-高专篇,10071,Card/卡牌,卡游,36,18,,
Mô hình chim đồ chơi trang trí xe,伴飞小鸟,10072,Đồ chơi/玩具,未知,200,1,,
Kayou Conan vol 2 (bản 2 tệ),名侦探柯南-名推理收藏卡-觅影包-第2弹,10073,Card/卡牌,卡游,48,30,,
Light bản tổng hợp BL thẻ xé,火萤文创【帷幕将倾】俊男唯美撕撕乐,10074,Thẻ xé/撕撕乐,火萤文创,80,1,,
Wanka Thanh gươm diệt quỷ ver Nhật luân,《万卡卡文创》鬼灭之刃日轮破晓第一弹,10075,Card/卡牌,万卡卡文创,10,10,,
Aikaho Thanh gươm diệt quỷ,【Aikaho】鬼灭之刃第四弹 集结 【DS-04 Muster】,10076,Thẻ bự/色纸,Aikaho,36,10,,
Genshin Impact World game,多多文创原神第二弹卡砖—神眸再现,10077,Thẻ hộp/卡砖,多多文创,100,1,,
Conan ver mã Morse phiếu tem,摩斯社×名侦探柯南-摩斯密码系列评级邮票,10078,Card/卡牌,摩斯社,200,1,,
Kaquduo chuyện cổ tích - Thiên dạ hội quyển,卡趣多《童话-千夜绘卷》艺术典藏卡牌,10079,Card/卡牌,卡趣多,36,12,,
Card Fun Cây Nấm Nhỏ ver Mạt thế thâm uyên,《小蘑菇》流荧版收藏卡-末世深渊,10080,Card/卡牌,集卡社,36,10,,
Kyoto Sailor Moon vol 4,京都社 美少女战士 · 第4弹,10081,Card/卡牌,京都社,36,13,,
Genshin A6 Tiwayimeng (Viết tắt Tiwa),吾羽文创-全亚克力正方形原神色纸,10082,Thẻ bự/色纸,吾羽文创,30,6,,
Card Fun Thiên quan tứ phúc Hoa đăng chiếu dạ,天官赐福花灯照夜,10083,Card/卡牌,集卡社,36,16,,
Card Fun Trảm thần chi phàm trần thần vực,《斩神之凡尘神域》典藏版收藏卡,10084,Card/卡牌,集卡社,36,16,,
Naruto thẻ xé,火影忍者·手绘复刻撕撕乐,10085,Thẻ xé/撕撕乐,未知,300,1,,
Conan ver Party nguy hiểm,【潮迷文创】名侦探柯南-危险排队-周边创意艺术色纸,10086,Thẻ bự/色纸,潮迷文创,90,1,,
World Cup 2026,世界杯足球2026,10087,Card/卡牌,义乌,80,36,,
Kayou Conan vol 3 (bản 2 tệ),名侦探柯南-名推理收藏卡-觅影包-第3弹,10088,Thẻ bự/色纸,卡游,48,30,,
Sao Hỏa Maltese,星火线条小狗,10089,Card/卡牌,星火,36,14,,
Yimeng Ghibli chữa lành cả đời,依梦×宫崎骏の治愈一生,10090,Card/卡牌,依梦,36,13,,
Card Fun Lilo&Stitch Dân chơi bách biến,星际宝贝百变顽家收藏卡,10091,Card/卡牌,集卡社,48,10,,
Tử Vi Sakura thẻ xé,紫薇文创×魔卡少女樱·撕撕乐,10092,Thẻ xé/撕撕乐,紫薇文创,202,3,,
Tinh tú hội họa Shinkai Makoto,星绘社新海诚系列卡牌,10093,Card/卡牌,星绘社,36,13,,
Nam thần đam mỹ A6 Điệp hải mộng hoa,山海文创《蝶海梦花》耽美男神A6纯亚克力色纸,10094,Thẻ bự/色纸,山海文创,20,5,,
WUPO Tranh nghệ thuật hội họa vol 1,WUPO艺术家手绘系列色纸第一弹,10095,Thẻ bự/色纸,WUPO,20,6,,
Sailor Moon Tinh Túy,至臻文创美少女战士,10096,Card/卡牌,至臻文创,36,14,,
Card Fun Thương Tiến Tửu - Kiếm Chỉ Sơn Hà,《将进酒》漫画纪念收藏卡-剑指山河,10097,Card/卡牌,集卡社,36,16,,
Series Đam Mỹ - Bộ Tarot Nhân Duyên Tam Giới,【念君集·双心占卜·耽美系列】三界情缘塔罗牌,10098,Thẻ bự/色纸,念君集,10,12,,
Thanh Nghiễn Sailor Moon vol 1,青彦美少女战士 · 第 1 弹,10099,Card/卡牌,青彦,36,13,,
