sku序列,中文名,品类,厂商,平拆价格,规格,,,拿货数量/箱,价格,,,,销售价（国内）,,折扣,预计销售额（越南盾）,渠道,主播,付款时间,预售时间,运单,越南入库时间
,,,,,箱,盒/箱,包/盒,,单包成本,箱价（单价）,运费/手续费,总价,箱,包,,,,,,,,
10001,小王子与爱丽丝,卡牌,卡盟文创,67500,1,24,12,1,7.176388889,2066.8,,2066.8,4320,15,47.84%,19440000,闲鱼,阿勇,2025/10/14,现货,,
10002,提瓦特工坊·原神水晶色纸,色纸,提瓦特工坊,99000,1,90,1,2,9.444444444,850,,1700,1791,19.9,47.46%,17820000,鑫宇,运营,2025/10/14,现货,,
10003,南卡《魔卡少女樱》,卡牌,南卡,45000,1,36,11,2,1.085858586,430,,860,4322,10.91414141,9.95%,35640000,鑫宇,氏惠,2025/10/14,现货,,
10004,奈良社《极昼漫游》美少女战士撕撕乐+异形小卡,撕撕乐,奈良社,99000,1,100,1,2,4.7,470,,940,1990,19.9,23.62%,19800000,鑫宇,氏惠,2025/10/14,现货,,
10005,柯南洞悉包第五弹,卡牌,卡游,45000,1,36,18,1,1.851851852,1200,,1200,6480,10,18.52%,29160000,闲鱼,MIMI,2025/10/14,现货,,
10006,夜灯,礼物,义乌,370000,1,48,1,1,26.66666667,1280,,1280,1280,26.66666667,100.00%,17760000,义乌,Gavin,2025/10/18,现货,,
10007,太阳能招财猫,招财猫,义乌,45000,1,240,1,1,4.32,1036.8,,1036.8,1036.8,4.32,100.00%,10800000,义乌,Gavin,2025/10/19,现货,,
10008,野火文创《月下悸动》 韩漫耽美撕撕乐,撕撕乐,野火文创,99000,1,52,1,2,8.076923077,420,,840,1464,28.15384615,28.69%,10296000,义乌,运营,2025/10/19,现货,,
10009,悦灵文创 《落花只为君》第三弹,卡牌,悦灵文创,45000,1,36,12,2,1.736111111,750,,1500,1615,3.738425926,46.44%,38880000,吴彦祖,运营,2025/10/21,现货,,
10010,《万卡卡文创》鬼灭之刃日轮破晓第一弹,卡牌,万卡卡文创,99000,1,10,10,2,8.5,850,,1700,1990,19.9,42.71%,19800000,吴彦祖,Gavin,2025/10/28,现货,,
10011,火影忍者·手绘复刻撕撕乐,撕撕乐,未知,45000,1,300,1,2,3.4,1020,,2040,3000,10,34.00%,27000000,吴彦祖,运营,2025/10/28,现货,,
10012,京都社 美少女战士 · 第4弹,卡牌,京都社,45000,1,36,13,1,3.846153846,1800,,1800,4608,9.846153846,39.06%,21060000,吴彦祖,运营,2025/10/28,现货,,
10013,吾羽文创-全亚克力正方形原神色纸,色纸,吾羽文创,99000,1,30,6,2,2.666666667,480,,960,3240,18,14.81%,35640000,吴彦祖,运营,2025/10/28,现货,,
10014,卡趣多《童话-千夜绘卷》艺术典藏卡牌,卡牌,卡趣多,59000,1,36,12,1,5.555555556,2400,,2400,4968,11.5,48.31%,25488000,吴彦祖,运营,2025/10/28,现货,,
10015,名侦探柯南-名推理收藏卡-觅影包-第3弹,卡牌,卡游,13000,1,48,30,2,1,1440,,2880,2880,2,50.00%,37440000,卡游,运营,2025/10/28,现货,,
10016,名侦探柯南-名推理收藏卡-觅影包-第2弹,卡牌,卡游,13000,1,48,30,1,1,1440,,1440,2880,2,50.00%,18720000,卡游,运营,2025/10/28,现货,,
10017,《斩神之凡尘神域》典藏版收藏卡,卡牌,集卡社,45000,1,36,16,1,5,2880,,2880,5760,10,50.00%,25920000,集卡社,运营,2025/10/28,现货,,
10018,《小蘑菇》流荧版收藏卡-末世深渊,卡牌,集卡社,45000,1,36,10,1,5,1800,,1800,3600,10,50.00%,16200000,集卡社,阿青,2025/10/28,现货,,
10019,多多文创原神第二弹—神眸再现,卡砖,多多文创,129000,1,100,1,2,11.2,1120,,2240,1990,19.9,56.28%,25800000,鑫宇,阿如、蓓英,2025/10/29,现货,,
10020,世界杯足球2026,卡牌,义乌,13000,1,36,80,2,0.243055556,700,,1400,700,0.243055556,100.00%,74880000,义乌,运营,2025/10/30,现货,,
