sku序列,品类,中文名,厂商,盒/箱,包/盒,英文/越文名,图片,预售时间
10001,卡牌,小王子与爱丽丝,卡盟文创,24,12,,,
10002,色纸,提瓦特工坊·原神水晶色纸,提瓦特工坊,90,1,,,
10003,卡牌,南卡《魔卡少女樱》,南卡,36,11,,,
10004,撕撕乐,奈良社《极昼漫游》美少女战士撕撕乐+异形小卡,奈良社,100,1,,,
10005,卡牌,柯南洞悉包第五弹,卡游,36,18,,,
10006,礼物,夜灯,义乌,48,1,,,
10007,招财猫,太阳能招财猫,义乌,240,1,,,
10008,撕撕乐,野火文创《月下悸动》 韩漫耽美撕撕乐,野火文创,52,1,,,
10009,卡牌,悦灵文创 《落花只为君》第三弹,悦灵文创,36,12,,,
10010,卡牌,《万卡卡文创》鬼灭之刃日轮破晓第一弹,万卡卡文创,10,10,,,
10011,撕撕乐,火影忍者·手绘复刻撕撕乐,未知,300,1,,,
10012,卡牌,京都社 美少女战士 · 第4弹,京都社,36,13,,,
10013,色纸,吾羽文创-全亚克力正方形原神色纸,吾羽文创,30,6,,,
10014,卡牌,卡趣多《童话-千夜绘卷》艺术典藏卡牌,卡趣多,36,12,,,
10015,卡牌,名侦探柯南-名推理收藏卡-觅影包-第3弹,卡游,48,30,,,
10016,卡牌,名侦探柯南-名推理收藏卡-觅影包-第2弹,卡游,48,30,,,
10017,卡牌,《斩神之凡尘神域》典藏版收藏卡,集卡社,36,16,,,
10018,卡牌,《小蘑菇》流荧版收藏卡-末世深渊,集卡社,36,10,,,
10019,卡砖,多多文创原神第二弹—神眸再现,多多文创,100,1,,,
10020,卡牌,世界杯足球2026,义乌,36,80,,,
10021,卡牌,天官赐福花灯照夜,集卡社,36,16,,,
10022,卡牌,鬼灭之刃纪念钞黄金闪卡,淘宝,10,1,,,
10023,撕撕乐,火萤文创【帷幕将倾】俊男唯美撕撕乐,火萤文创,80,3,,,
10024,卡牌,【Aikaho】鬼灭之刃第四弹 集结 【DS-04 Muster】,Aikaho,36,10,,,
10025,邮票,摩斯社×名侦探柯南-摩斯密码系列评级邮票,摩斯社,200,1,,,
10026,卡砖,绘卷文创-梦境入画【鬼灭之刃系列收藏卡砖】,绘卷文创,180,1,,,
10027,色纸,【潮迷文创】名侦探柯南-危险排队-周边创意艺术色纸,潮迷文创,90,1,,,
10028,上上签,【行星文创·上上签·命运答案】X全新原神系列上上签,行星文创,12,10,,,
