采购单号,供货商,采购品类,厂商,产品名称,产品规格,产品重量(kg),产品盒数,采购数量,单价（RMB）,采购总金额,下单时间,发货时间3,货运单号,状态,备注
000001,毛老师,卡牌,心潮文创,《恋与深空》双折页书卡,,,10 ,3,570 ,1710.00 ,2025/09/16,2025/09/18,SF1462137435297,mili签收,
000002,毛老师,卡牌,原神,神之起源,50*43*36,16,36 ,2,1500 ,3000.00 ,2025/09/16,2025/09/17,"78940522330606,
78940521939844",mili签收,
000003,毛老师,卡牌,恋耳文创,【捕获男神的99种方式】,42*30*22,12.45,26 ,3,1020 ,3060.00 ,2025/09/16,2025/09/18,78940443652601，78940444198396，78940444652966,mili签收,
000004,毛老师,撕撕乐,光屿文创,《恋与深空》全新镭射票拍立得撕撕乐,34.5*28.5*15.5,3.11,60 ,1,880 ,880.00 ,2025/09/16,2025/09/16,73572707881366,mili签收,
000005,毛老师,赠品,盘古,海贼补偿卡册,,,0 ,5,0 ,0.00 ,2025/09/18,2025/09/18,73572945778997,mili签收,
000006,毛老师,卡牌,万漫社,伊索寓言第一弹,46.5*4635*31,15,36 ,2,1400 ,2800.00 ,2025/09/19,2025/09/20,352902302539，78941039185586,mili签收,
000007,毛老师,卡牌,悉语,魔卡少女樱《缤纷童话》第一弹,,,36 ,1,2150 ,2150.00 ,2025/09/19,2025/09/22,KY4000894409235,mili签收,
000008,毛老师,卡牌,玩咔堂,原神-第4弹,,,36 ,3,800 ,2400.00 ,2025/09/19,2025/09/19,SF3234123390627,mili签收,
000009,毛老师,卡牌,优卡,美少女战士第2弹,,,36 ,2,800 ,1600.00 ,2025/09/19,2025/09/19,SF3234123390627,mili签收,
000011,毛老师,卡牌,酷卡文化,线条小狗-3弹《漫游·梦境仙踪收藏卡》,,15,36 ,1,850 ,850.00 ,2025/09/20,2025/09/22,800154915440,mili签收,
000012,毛老师,卡牌,琉璃,美少女战士-第一弹系列,44*48*34,,50 ,1,900 ,900.00 ,2025/09/20,2025/09/20,KY4000825424932,mili签收,
000013,毛老师,水晶砖,雷沃文创,鬼灭之刃-水晶砖,,,,1,650 ,650.00 ,2025/09/20,2025/09/23,910039997683,mili签收,
000014,鑫宇,水晶砖,东株社,宝可梦水晶砖,40*28*23,11.65,50 ,1,1130 ,1130.00 ,2025/09/21,2025/09/23,KY400808484431,mili签收,
000015,鑫宇,卡牌,兰亭文创,x墨家三宝典藏色纸砚池春深系列,,,120 ,2,800 ,1600.00 ,2025/09/21,2025/10/02,KY4000883565278,mili签收,
000016,鑫宇,卡牌,MoonCard月卡,《美少女战士》第三弹,60*40*50,20,36 ,1,850 ,850.00 ,2025/09/21,2025/09/23,SF3288421759521,mili签收,
000017,鑫宇,卡牌,DUO米,全新出品鬼灭之刃-柱合会议篇第二弹,,,36 ,2,750 ,1500.00 ,2025/09/21,2025/09/21,KY4000895488185,mili签收,
000018,鑫宇,卡牌,贝贝文创,初见花海咒术回战第一弹,,,180 ,1,750 ,750.00 ,2025/09/21,2025/09/24,SF0288757208405,mili签收,
000019,鑫宇,撕撕乐,君屹文化,耽美古风收藏新纪元《言辞忆梦》撕撕乐,,,300 ,1,1020 ,1020.00 ,2025/09/21,2025/09/24,KY4000878435237,mili签收,
000020,鑫宇,邮票,椿柚文创,宫崎骏 被风吹散的秘密邮票第一弹,32*22*26,5.65,100 ,1,980 ,980.00 ,2025/09/21,2025/09/24,KY4000868489761,mili签收,
000021,卡宝,卡牌,劲卡,英雄联盟世界冠军升级版,,,36 ,3,400 ,1200.00 ,2025/09/21,2025/09/22,188123411193,mili签收,
000022,闲鱼,卡牌,,进击巨人2,,,,1,1365 ,1365.00 ,2025/09/22,2025/09/24,15626927672,mili签收,
000023,鑫宇,卡牌,思梨普文创,《hey！国王陛下》集换式艺术家典藏卡,,,36 ,2,750 ,1500.00 ,2025/09/22,2025/09/26,KY4000878435237,mili签收,
000024,卡宝,卡牌,kawaii,宫崎骏-梦幻之国,,,36 ,2,900 ,1800.00 ,2025/09/22,2025/09/23,SF3238541053794,mili签收,
000025,吴彦祖,卡牌,云映文化,宫崎骏-时光绘券,,,36 ,2,1800 ,3600.00 ,2025/09/22,2025/09/23,KY4000877459469,mili签收,
000026,吴彦祖,撕撕乐,星梦文创,Studio Ghibli宫崎骏撕撕乐系列,,,100 ,2,550 ,1100.00 ,2025/09/22,2025/09/22,"78941913618525
78941913147899",mili签收,
000027,吴彦祖,卡牌,灿卡文创,宫崎骏第一弹《花涧物语》,,,36 ,2,1750 ,3500.00 ,2025/09/22,2025/09/22,"78941914007560
78941912998891",mili签收,
000028,毛老师,卡牌,梦绘文创,绘梦入境第二弹,48*40*39,20,36 ,1,1650 ,1650.00 ,2025/09/23,2025/09/28,78942547096481,mili签收,
000029,毛老师,卡牌,梦境,美少女战士第一弹,47*45*39,18,36 ,1,1800 ,1800.00 ,2025/09/23,2025/09/28,78538568465973,mili签收,
000030,毛老师,卡牌,圣月,美少女战士星尘协奏曲长卡,51*47*38,21.6,36 ,1,1750 ,1750.00 ,2025/09/23,2025/09/25,500233316171,mili签收,
000031,毛老师,卡牌,XWORK,美少女战士-璀璨之梦,,,36 ,2,800 ,1600.00 ,2025/09/23,2025/09/28,800156170494,mili签收,
000032,吴彦祖,赠品,,赏包和邮物合集,,,,1,0 ,0.00 ,2025/09/23,2025/09/23,78942179429330,mili签收,
000033,毛老师,赠品,,星泽美战六折叠书卡,,,,1,0 ,0.00 ,2025/09/23,2025/09/24,73573667018303,mili签收,
000034,毛老师,赠品,,摇摇乐补发,,,,1,0 ,0.00 ,2025/09/23,2025/09/25,777342695820158,mili签收,
000035,吴彦祖,卡牌,玩的入迷,魔卡少女樱第一弹樱之绮遇,,,36 ,1,830 ,830.00 ,2025/09/26,2025/09/26,301627526061,mili签收,
000036,吴彦祖,水晶砖,胜卡文创,魔道祖师云深不忘邮票评级卡砖,,,10 ,2,700 ,1400.00 ,2025/09/26,2025/09/26,73574127673862,mili签收,
000037,闲鱼,卡牌,樱花屋,魔卡少女樱,,,36 ,1,1500 ,1500.00 ,2025/09/25,2025/09/27,SF0289042453690,mili签收,
000038,闲鱼,邮票,咪咕咪咕,魔卡少女樱磁吸邮票,,,100 ,1,1000 ,1000.00 ,2025/09/27,2025/09/29,SF0252041000068,mili签收,
